Tiếng Hàn,Hán tự,Nghĩa tiếng Việt
"연설","演說","Diễn thuyết"
"연임","連任","Tái nhiệm"
"연장","延長","Kéo dài"
"연정","聯政","Liên minh chính trị"
"연좌","連坐","Liên đới"
"연패","連敗","Thua liên tiếp"
"연행","連行","Dẫn giải"
"열강","列强","Liệt cường"
"열기","熱氣","Nhiệt khí"
"열망","熱望","Khao khát"
"열세","劣勢","Thế yếu"
"열의","熱意","Nhiệt tình"
"열정","熱情","Nhiệt huyết"
"열패","劣敗","Thua kém"
"영결","永訣","Vĩnh biệt"
"영광","榮光","Vinh quang"
"영구적","永久的","Vĩnh cửu"
"영도","領導","Lãnh đạo"
"영리","營利","Lợi nhuận"
"영속","永續","Bền vững"
"영수","領袖","Lãnh tụ"
"영역","領域","Lĩnh vực"
"영웅","英雄","Anh hùng"
"영입","迎入","Tiếp nhận"
"영전","榮轉","Thăng chức"
"영주","永住","Định cư"
"영토권","領土權","Chủ quyền lãnh thổ"
"예고","豫告","Báo trước"
"예산","豫算","Ngân sách"
"예속","隸屬","Lệ thuộc"
"예우","禮遇","Đãi ngộ"
"예정","豫定","Dự định"
"예측","豫測","Dự đoán"
"오만","傲慢","Kiêu ngạo"
"오판","誤判","Phán đoán sai"
"오해","誤解","Hiểu lầm"
"온건","穩健","Ôn hòa"
"온전","穩全","Toàn vẹn"
"완강","頑强","Ngoan cường"
"완결","完結","Hoàn kết"
"완성","完成","Hoàn thành"
"완전","完全","Hoàn toàn"
"완화","緩和","Nới lỏng"
"외압","外壓","Áp lực bên ngoài"
"외채","外債","Nợ nước ngoài"
"외침","外侵","Xâm lược từ ngoài"
"요인","要因","Yếu tố"
"요청","要請","Yêu cầu"
"용단","勇斷","Quyết đoán dũng cảm"
"용서","容恕","Tha thứ"
"용인","容認","Chấp nhận"
"우려","憂慮","Lo ngại"
"우방","友邦","Nước bạn"
"우상","偶像","Thần tượng"
"우열","優劣","Hơn kém"
"우위","優位","Ưu thế"
"우파","右派","Cánh hữu"
"운용","運用","Vận dụng"
"운집","雲集","Tụ tập đông"
"원기","元氣","Nguyên khí"
"원망","怨望","Oán trách"
"원상","原狀","Nguyên trạng"
"원수","怨讐","Kẻ thù"
"원심","原審","Phiên tòa sơ thẩm"
"원외","院外","Ngoài nghị viện"
"원유","原油","Dầu thô"
"원전","原典","Nguyên điển"
"원천","源泉","Nguồn gốc"
"원통","冤痛","Oan ức"
"위기","危機","Nguy cơ"
"위독","危篤","Nguy kịch"
"위법","違法","Vi phạm pháp luật"
"위세","威勢","Uy thế"
"위수","衛戍","Đồn trú"
"위압","威壓","Uy áp"
"위증","僞證","Làm chứng giả"
"위헌","違憲","Vi hiến"
"유감","遺憾","Tiếc nuối"
"유고","有故","Có sự cố"
"유권자","有權者","Cử tri"
"유대","紐帶","Mối liên kết"
"유도심문","誘導審問","Thẩm vấn dẫn dắt"
"유력","有力","Có thế lực"
"유보","留保","Bảo lưu"
"유세","遊說","Vận động bầu cử"
"유신","維新","Duy tân"
"유예","猶豫","Hoãn lại"
"유지","維持","Duy trì"
"유착","癒着","Câu kết"
"유화","宥和","Hòa giải"
"은폐","隱蔽","Che giấu"
"은퇴","隱退","Về hưu"
"음모론","陰謀論","Thuyết âm mưu"
"음해","陰害","Hãm hại ngầm"
"응보","應報","Báo ứng"
"응징","應懲","Trừng phạt"
"의결","議決","Nghị quyết"
"의구심","疑懼心","Nghi ngờ lo sợ"
"의기","意氣","Ý khí"
"의석","議席","Ghế nghị viện"
"의심","疑心","Nghi ngờ"
"의안","議案","Dự án nghị quyết"
"의존","依存","Phụ thuộc"
"의혹","疑惑","Nghi vấn"
"이견","異見","Ý kiến khác"
"이권","利權","Lợi quyền"
"이념","理念","Lý niệm"
"이단","異端","Dị đoan"
"이면","裏面","Mặt trái"
"이반","離反","Ly khai"
"이분","二分","Chia đôi"
"이상","理想","Lý tưởng"
"이양","移讓","Chuyển giao"
"이의","異議","Phản đối"
"이적","利敵","Có lợi cho địch"
"이탈","離脫","Tách rời"
"이해관계","利害關係","Quan hệ lợi hại"
"인가","認可","Phê duyệt"
"인계","引繼","Bàn giao"
"인내","忍耐","Nhẫn nại"
"인망","人望","Uy tín"
"인솔","引率","Dẫn dắt"
"인수","引受","Tiếp nhận"
"인신","人身","Thân người"
"인질","人質","Con tin"
"인척","姻戚","Thông gia"
"인허가","認許可","Cấp phép"
"일관","一貫","Nhất quán"
"일괄","一括","Gộp lại"
"일방","一方","Một phía"
"일방적","一方的","Đơn phương"
"일부","一部","Một phần"
"일선","一線","Tuyến đầu"
"일시","一時","Nhất thời"
"일치","一致","Nhất trí"
"일탈","逸脫","Lệch lạc"
"임박","臨迫","Sắp đến"
"임시","臨時","Tạm thời"
"임전","臨戰","Lâm chiến"
"입각","入閣","Vào nội các"
"입장","立場","Lập trường"
"입후보","立候補","Ứng cử"
